ShipmentID,OrderID,ShipperID,ShipDate,DeliveryDate
119,33074,9,2025-03-10,2025-03-20
120,18102,6,2024-04-09,2024-04-18
121,10188,6,2024-06-06,2024-06-09
122,38664,7,2024-08-20,2024-08-23
123,17384,1,2024-04-03,2024-04-12
124,25996,8,2026-02-21,2026-02-27
125,24703,3,2024-04-19,2024-04-29
126,26219,8,2025-05-21,2025-05-31
127,9466,7,2024-04-29,2024-05-07
128,31329,4,2025-07-07,2025-07-12
129,33762,3,2025-11-19,2025-11-25
130,8845,3,2024-06-28,2024-07-01
131,30180,7,2025-10-28,2025-11-01
132,38646,4,2026-08-14,2026-08-21
133,30685,2,2025-05-01,2025-05-08
134,19957,4,2026-07-08,2026-07-15
135,46999,8,2024-01-09,2024-01-12
136,23746,3,2025-05-19,2025-05-28
137,9552,1,2024-10-18,2024-10-22
138,43556,3,2024-03-19,2024-03-23
139,11852,9,2026-01-26,2026-01-29
140,36929,5,2024-08-03,2024-08-07
141,17312,3,2025-12-24,2025-12-25
142,12989,4,2024-06-09,2024-06-17
143,46984,1,2025-11-23,2025-11-30
144,28512,3,2026-02-08,2026-02-18
145,18783,10,2025-07-09,2025-07-15
146,18079,7,2025-05-10,2025-05-14
147,19464,1,2025-10-10,2025-10-16
148,29473,10,2025-04-26,2025-05-04
149,15026,4,2024-06-16,2024-06-20
150,30686,2,2026-06-02,2026-06-11
151,19260,3,2024-07-28,2024-08-06
152,40436,2,2025-01-11,2025-01-18
153,23018,3,2024-04-28,2024-04-30
154,2498,10,2026-08-02,2026-08-08
155,8989,8,2026-07-29,2026-07-30
156,22185,6,2026-03-18,2026-03-28
157,18858,8,2025-06-04,2025-06-10
158,44961,6,2026-06-07,2026-06-17
159,30914,1,2025-12-28,2025-12-29
160,40545,4,2026-04-23,2026-05-03
161,39441,4,2026-06-03,2026-06-04
162,20871,6,2024-06-18,2024-06-21
163,13293,2,2026-06-16,2026-06-20
164,9388,8,2024-04-02,2024-04-03
165,44047,8,2026-09-07,2026-09-11
166,46254,9,2026-02-15,2026-02-16
167,5935,2,2025-08-05,2025-08-06
168,9664,8,2026-06-09,2026-06-14
169,15482,4,2024-08-22,2024-08-24
170,48290,7,2025-11-03,2025-11-10
171,16934,7,2024-08-02,2024-08-04
172,41442,3,2025-12-09,2025-12-10
173,41092,6,2024-10-02,2024-10-12
174,18030,4,2026-01-14,2026-01-22
175,27192,10,2024-02-25,2024-02-27
176,2942,5,2024-02-05,2024-02-10
177,46882,2,2026-01-20,2026-01-23
178,33003,4,2025-03-24,2025-04-01
179,21738,5,2024-07-26,2024-08-02
180,37630,5,2026-08-04,2026-08-14
181,18071,8,2025-09-28,2025-09-30
182,49465,6,2025-04-01,2025-04-05
183,47285,5,2024-03-26,2024-03-30
184,19367,3,2025-08-22,2025-08-24
185,35682,4,2026-05-03,2026-05-04
186,6190,1,2025-10-05,2025-10-12
187,16290,5,2024-07-08,2024-07-14
188,43349,10,2026-03-13,2026-03-22
189,12691,10,2025-09-15,2025-09-22
190,41480,7,2026-01-19,2026-01-24
191,20689,10,2024-10-09,2024-10-12
192,17192,1,2025-11-05,2025-11-12
193,12310,10,2024-03-09,2024-03-10
194,39809,4,2026-03-30,2026-04-06
195,15040,8,2025-03-07,2025-03-13
196,18079,6,2025-02-08,2025-02-09
197,29170,5,2026-06-09,2026-06-11
198,49181,8,2025-09-16,2025-09-24
199,14588,5,2026-07-01,2026-07-08
200,22106,3,2024-11-05,2024-11-09
201,42731,1,2024-05-08,2024-05-12
202,15121,1,2026-04-16,2026-04-23
203,39130,9,2026-02-05,2026-02-07
204,13038,8,2024-07-05,2024-07-15
205,13392,6,2025-06-27,2025-06-28
206,42167,1,2025-02-28,2025-03-02
207,40229,9,2024-11-30,2024-12-02
208,31687,1,2024-08-11,2024-08-20
209,39435,4,2024-12-22,2024-12-29
210,2900,6,2025-12-22,2025-12-28
211,824,4,2025-02-28,2025-03-06
212,21884,2,2024-03-04,2024-03-14
213,17154,3,2025-05-06,2025-05-10
214,16346,3,2024-04-28,2024-05-06
215,42700,2,2025-09-26,2025-10-01
216,48014,6,2025-02-11,2025-02-17
217,35359,10,2025-06-29,2025-07-04
218,31282,1,2024-06-18,2024-06-21
219,37531,4,2026-03-22,2026-03-31
220,47664,3,2024-09-03,2024-09-11
221,13122,7,2024-12-19,2024-12-23
222,36169,9,2026-04-06,2026-04-10
223,17771,10,2024-03-25,2024-03-31
224,27695,6,2025-11-27,2025-12-04
225,44134,8,2026-05-05,2026-05-09
226,27850,8,2024-04-12,2024-04-18
227,14525,10,2026-03-23,2026-03-29
228,27844,9,2025-09-22,2025-10-02
229,21663,7,2024-11-07,2024-11-08
230,4318,10,2025-12-11,2025-12-12
231,30497,6,2026-06-14,2026-06-18
232,12608,3,2024-02-20,2024-02-27
233,49429,4,2025-09-13,2025-09-22
234,45273,3,2025-04-27,2025-05-01
235,38498,7,2026-02-06,2026-02-08
236,16830,2,2024-09-03,2024-09-06
237,32041,6,2026-07-26,2026-08-02
238,9560,1,2024-03-16,2024-03-18
239,55,6,2024-03-09,2024-03-17
240,25578,10,2025-11-12,2025-11-20
241,15579,3,2026-05-29,2026-06-04
242,18095,10,2024-07-03,2024-07-12
243,37809,10,2025-11-27,2025-12-03
244,27578,6,2026-07-26,2026-08-02
245,2433,2,2025-10-25,2025-11-03
246,22740,2,2025-05-29,2025-05-31
247,13854,5,2025-09-07,2025-09-09
248,46522,3,2024-02-13,2024-02-20
249,25881,2,2024-10-02,2024-10-08
250,48704,2,2025-12-28,2026-01-06
251,23965,2,2025-09-08,2025-09-16
252,6147,1,2024-09-07,2024-09-12
253,41433,7,2024-03-04,2024-03-13
254,34394,3,2024-05-13,2024-05-16
255,18790,1,2024-01-19,2024-01-26
256,48673,9,2025-09-27,2025-10-01
257,6540,6,2026-06-30,2026-07-03
258,27966,3,2025-01-02,2025-01-05
259,18916,5,2024-11-29,2024-11-30
260,32927,9,2024-10-21,2024-10-23
261,5473,9,2024-06-27,2024-07-04
262,4295,9,2024-12-14,2024-12-23
263,29836,10,2024-11-05,2024-11-07
264,24768,10,2025-08-15,2025-08-20
265,29761,9,2026-03-07,2026-03-17
266,12535,3,2025-04-24,2025-04-29
267,48299,2,2024-06-28,2024-06-29
268,44486,6,2024-10-02,2024-10-06
269,36655,9,2025-12-31,2026-01-10
270,3168,3,2025-11-06,2025-11-14
271,43919,4,2025-06-19,2025-06-23
272,40051,9,2024-05-06,2024-05-08
273,23444,1,2024-04-06,2024-04-11
274,3874,2,2025-10-03,2025-10-04
275,31652,7,2024-07-02,2024-07-04
276,46339,10,2024-10-01,2024-10-09
277,28368,10,2024-08-10,2024-08-19
278,28808,10,2024-03-05,2024-03-07
279,37290,1,2026-07-06,2026-07-11
280,41888,10,2026-07-02,2026-07-06
281,6004,10,2026-03-04,2026-03-05
282,48569,6,2025-05-21,2025-05-27
283,34654,1,2026-01-16,2026-01-22
284,36650,2,2025-01-18,2025-01-23
285,23744,1,2024-07-13,2024-07-23
286,31512,1,2024-05-09,2024-05-12
287,14096,4,2024-09-17,2024-09-26
288,31046,9,2024-11-10,2024-11-18
289,16612,2,2025-05-08,2025-05-14
290,19644,2,2026-07-09,2026-07-12
291,49381,2,2025-01-26,2025-02-05
292,41542,4,2024-12-27,2025-01-01
293,24609,6,2024-10-04,2024-10-10
294,25097,1,2024-08-08,2024-08-16
295,10344,4,2026-06-17,2026-06-24
296,1334,9,2025-07-31,2025-08-02
297,39028,2,2024-11-11,2024-11-20
298,15120,6,2025-01-02,2025-01-11
299,49360,2,2025-08-09,2025-08-18
300,19265,10,2025-03-01,2025-03-09
301,2736,9,2025-09-07,2025-09-12
302,36497,10,2025-01-02,2025-01-11
303,40794,7,2025-04-16,2025-04-20
304,9569,1,2025-10-15,2025-10-17
305,38616,6,2024-02-12,2024-02-22
306,48068,4,2026-07-26,2026-08-04
307,9083,4,2026-07-28,2026-08-07
308,14349,10,2024-06-18,2024-06-20
309,46365,4,2025-01-26,2025-01-30
310,18985,6,2026-03-16,2026-03-17
311,7002,2,2025-11-07,2025-11-17
312,33965,1,2026-08-23,2026-09-01
313,13806,3,2025-07-27,2025-07-31
314,2308,3,2025-02-05,2025-02-07
315,43194,8,2025-11-09,2025-11-19
316,13546,5,2025-02-23,2025-02-26
317,9760,5,2025-10-29,2025-10-30
318,33227,8,2025-05-27,2025-06-05
319,134,4,2025-10-09,2025-10-10
320,26125,7,2025-06-12,2025-06-16
321,6868,6,2024-04-03,2024-04-10
322,34184,5,2025-04-25,2025-05-01
323,20514,3,2024-09-07,2024-09-15
324,35079,6,2025-06-23,2025-07-03
325,18085,10,2024-08-22,2024-08-30
326,31334,2,2025-03-12,2025-03-22
327,3971,6,2024-03-28,2024-04-04
328,25968,1,2024-12-10,2024-12-13
329,42133,10,2025-08-04,2025-08-11
330,35992,9,2026-02-12,2026-02-14
331,14907,10,2024-08-08,2024-08-13
332,24713,2,2024-10-24,2024-10-25
333,7977,3,2024-09-26,2024-10-04
334,14500,1,2024-04-09,2024-04-13
335,14825,2,2025-08-31,2025-09-06
336,25781,6,2026-07-29,2026-08-01
337,9543,7,2026-08-03,2026-08-06
338,26392,5,2024-04-22,2024-05-01
339,42896,1,2024-12-30,2025-01-09
340,5581,9,2024-05-05,2024-05-06
341,45815,10,2024-10-06,2024-10-11
342,45512,6,2024-03-26,2024-03-30
343,29712,3,2025-02-21,2025-02-26
344,42519,7,2024-04-24,2024-04-29
345,44066,2,2024-06-26,2024-07-01
346,35553,6,2026-04-19,2026-04-28
347,22329,5,2025-01-12,2025-01-14
348,18745,4,2026-08-11,2026-08-18
349,51,3,2024-01-06,2024-01-07
350,25278,7,2025-04-13,2025-04-15
351,48037,6,2024-03-30,2024-04-03
352,27225,4,2026-06-25,2026-07-05
353,23132,2,2024-08-22,2024-08-29
354,26353,2,2024-06-08,2024-06-14
355,46452,7,2024-04-12,2024-04-15
356,7802,4,2025-09-09,2025-09-15
357,30040,5,2026-07-23,2026-07-31
358,49961,8,2024-09-30,2024-10-04
359,41841,5,2024-07-16,2024-07-19
360,7400,2,2025-07-07,2025-07-14
361,23207,10,2025-05-12,2025-05-20
362,49119,6,2026-06-03,2026-06-08
363,15048,5,2024-08-16,2024-08-18
364,49797,4,2025-09-21,2025-10-01
365,47260,7,2024-02-28,2024-03-03
366,20109,4,2026-06-06,2026-06-12
367,42941,7,2026-08-26,2026-09-01
368,13697,9,2025-05-09,2025-05-14
369,37731,6,2025-11-23,2025-11-25
370,48611,10,2025-07-09,2025-07-18
371,1907,1,2025-03-05,2025-03-07
372,16188,5,2026-06-23,2026-06-27
373,26357,8,2024-12-27,2025-01-03
374,37887,9,2026-08-21,2026-08-22
375,10356,10,2025-08-12,2025-08-18
376,43523,3,2024-06-10,2024-06-17
377,10902,3,2025-05-21,2025-05-30
378,37731,6,2025-11-13,2025-11-22
379,10996,4,2025-05-21,2025-05-22
380,25875,8,2025-01-08,2025-01-10
381,21415,4,2024-12-22,2024-12-23
382,14838,5,2024-12-20,2024-12-22
383,18638,3,2025-12-10,2025-12-15
384,31011,10,2024-09-15,2024-09-20
385,16686,5,2025-02-04,2025-02-10
386,38754,1,2024-11-27,2024-12-04
387,29335,10,2025-07-14,2025-07-17
388,13237,2,2024-05-04,2024-05-13
389,29081,9,2024-03-29,2024-04-04
390,27752,10,2026-07-14,2026-07-21
391,26211,4,2024-07-09,2024-07-16
392,22497,1,2024-03-21,2024-03-22
393,38046,9,2025-11-19,2025-11-27
394,36331,2,2025-06-20,2025-06-23
395,36632,3,2026-07-14,2026-07-24
396,34065,3,2024-02-22,2024-02-27
397,16755,6,2025-12-05,2025-12-12
398,42226,9,2024-02-07,2024-02-09
399,17772,3,2024-10-05,2024-10-10
400,784,2,2024-01-01,2024-01-09
401,37242,1,2025-12-19,2025-12-23
402,15419,9,2025-12-19,2025-12-21
403,171,8,2025-12-22,2025-12-26
404,44473,4,2025-05-29,2025-06-06
405,10083,3,2024-09-14,2024-09-19
406,23849,6,2026-01-08,2026-01-10
407,5718,7,2026-05-09,2026-05-17
408,35923,3,2024-08-28,2024-09-04
409,5808,1,2025-04-10,2025-04-14
410,28202,8,2026-01-03,2026-01-09
411,36113,7,2025-07-31,2025-08-08
412,40851,8,2026-01-26,2026-02-04
413,40793,1,2026-09-04,2026-09-12
414,44769,4,2024-11-13,2024-11-22
415,34892,9,2024-12-18,2024-12-20
416,38583,5,2024-01-26,2024-02-03
417,3591,4,2025-09-26,2025-10-06
418,10528,5,2024-09-27,2024-10-02
419,35618,5,2024-10-28,2024-11-06
420,48518,4,2024-07-07,2024-07-08
421,38999,5,2025-11-08,2025-11-15
422,27721,7,2025-02-23,2025-03-02
423,25929,4,2025-05-14,2025-05-20
424,14957,6,2025-05-21,2025-05-31
425,17166,2,2024-08-26,2024-09-01
426,40659,3,2026-02-13,2026-02-17
427,15635,6,2024-01-20,2024-01-30
428,35656,6,2024-03-25,2024-04-04
429,21878,5,2026-05-12,2026-05-21
430,21593,10,2026-03-07,2026-03-17
431,35876,3,2024-03-29,2024-04-01
432,32079,4,2025-05-19,2025-05-25
433,2256,8,2025-07-22,2025-07-28
434,35893,9,2025-06-16,2025-06-22
435,26761,5,2026-05-16,2026-05-19
436,216,9,2024-04-28,2024-05-02
437,25584,10,2024-01-04,2024-01-09
438,22688,8,2024-02-14,2024-02-21
439,19666,8,2024-06-27,2024-07-06
440,39109,6,2025-06-25,2025-06-27
441,45721,9,2025-09-23,2025-10-03
442,45691,6,2025-01-03,2025-01-08
443,23174,6,2026-03-14,2026-03-19
444,29712,3,2024-08-21,2024-08-28
445,33825,6,2025-12-23,2026-01-01
446,2575,10,2025-03-17,2025-03-25
447,15306,8,2026-06-01,2026-06-09
448,17481,6,2024-02-27,2024-03-04
449,35773,8,2026-01-03,2026-01-07
450,20488,4,2024-05-13,2024-05-14
451,7482,1,2026-09-08,2026-09-14
452,46652,1,2024-05-08,2024-05-13
453,12574,5,2024-10-16,2024-10-22
454,20834,2,2025-08-16,2025-08-19
455,2836,8,2025-07-09,2025-07-17
456,42149,3,2025-06-06,2025-06-10
457,17801,9,2024-07-27,2024-07-30
458,13342,7,2024-05-07,2024-05-10
459,35914,10,2025-06-14,2025-06-19
460,42895,7,2025-06-20,2025-06-24
461,12254,5,2024-09-07,2024-09-13
462,39337,4,2025-02-27,2025-03-08
463,17421,6,2025-03-13,2025-03-18
464,46163,7,2025-12-16,2025-12-24
465,28350,1,2026-08-18,2026-08-26
466,37968,10,2026-08-07,2026-08-10
467,20135,10,2025-08-31,2025-09-07
468,49086,9,2026-06-05,2026-06-11
469,29934,2,2024-05-17,2024-05-23
470,30634,8,2024-09-25,2024-09-29
471,48397,3,2026-07-05,2026-07-11
472,48590,6,2025-11-27,2025-11-29
473,24987,10,2024-02-15,2024-02-23
474,30227,7,2024-08-28,2024-08-31
475,30480,2,2024-07-25,2024-07-28
476,42521,3,2026-03-20,2026-03-29
477,21607,5,2024-03-03,2024-03-07
478,13036,10,2025-01-21,2025-01-23
479,46635,1,2025-04-15,2025-04-22
480,29982,2,2025-08-25,2025-08-26
481,10752,4,2026-04-05,2026-04-11
482,21093,8,2026-08-23,2026-08-30
483,47038,4,2026-07-11,2026-07-21
484,38351,3,2026-02-27,2026-03-03
485,5700,10,2026-03-10,2026-03-16
486,27787,8,2024-07-11,2024-07-18
487,49555,2,2025-08-28,2025-08-30
488,21145,9,2026-08-12,2026-08-20
489,10916,8,2026-01-07,2026-01-14
490,42708,4,2024-08-16,2024-08-22
491,17312,10,2025-08-05,2025-08-13
492,36204,7,2026-01-19,2026-01-25
493,18976,10,2024-07-10,2024-07-13
494,1855,5,2025-09-08,2025-09-15
495,45168,10,2025-01-06,2025-01-11
496,37952,3,2025-07-09,2025-07-11
497,31710,7,2025-01-25,2025-02-01
498,32751,1,2026-05-28,2026-06-02
499,24877,8,2026-03-21,2026-03-22
500,48283,10,2024-08-27,2024-08-28
501,27958,8,2024-12-08,2024-12-09
502,43998,3,2025-11-06,2025-11-09
503,28828,9,2026-01-27,2026-02-01
504,13533,4,2025-01-30,2025-02-03
505,27472,7,2024-09-07,2024-09-17
506,16337,9,2024-02-07,2024-02-17
507,34120,3,2025-10-20,2025-10-24
508,48777,5,2025-12-02,2025-12-12
509,3758,8,2024-12-03,2024-12-10
510,33896,1,2025-12-14,2025-12-20
511,14199,6,2026-02-19,2026-02-22
512,43251,6,2024-03-24,2024-03-30
513,38796,2,2025-04-11,2025-04-21
514,13397,1,2026-02-02,2026-02-03
515,48885,7,2024-08-07,2024-08-09
516,4231,10,2024-01-29,2024-02-05
517,15748,6,2026-06-03,2026-06-11
518,20319,6,2025-02-27,2025-03-03
519,34845,5,2024-09-26,2024-09-29
520,6599,2,2025-02-15,2025-02-18
521,17327,5,2026-01-02,2026-01-07
522,32500,3,2026-07-08,2026-07-14
523,44298,2,2024-04-14,2024-04-22
524,40922,2,2026-04-30,2026-05-02
525,36886,10,2024-05-24,2024-05-28
526,19326,1,2024-04-07,2024-04-09
527,27376,10,2024-06-03,2024-06-13
528,11135,1,2025-11-01,2025-11-10
529,45034,3,2026-04-10,2026-04-16
530,17765,7,2025-11-25,2025-12-04
531,42476,8,2024-05-23,2024-06-01
532,26217,3,2026-04-18,2026-04-19
533,32871,6,2025-09-08,2025-09-13
534,49257,6,2024-12-19,2024-12-28
535,25658,9,2025-08-26,2025-08-30
536,21224,6,2025-02-02,2025-02-06
537,3102,1,2026-07-10,2026-07-18
538,47647,2,2025-12-03,2025-12-05
539,9323,1,2024-08-17,2024-08-24
540,15043,7,2025-03-11,2025-03-19
541,13220,10,2024-12-29,2025-01-03
542,12137,6,2024-01-22,2024-01-31
543,25228,9,2025-06-20,2025-06-21
544,126,4,2026-09-07,2026-09-16
545,6434,3,2025-04-12,2025-04-15
546,45950,9,2024-12-20,2024-12-26
547,4778,8,2025-06-14,2025-06-19
548,40314,9,2024-04-16,2024-04-24
549,3730,8,2025-12-16,2025-12-20
550,42748,8,2026-07-09,2026-07-14
551,32462,6,2025-02-06,2025-02-15
552,39466,8,2025-01-21,2025-01-22
553,13279,1,2025-07-18,2025-07-27
554,39934,2,2025-04-30,2025-05-03
555,16768,8,2026-01-29,2026-02-07
556,11237,3,2024-08-08,2024-08-16
557,25018,5,2025-09-05,2025-09-15
558,11355,3,2024-02-01,2024-02-04
559,13055,9,2025-02-20,2025-02-23
560,28324,8,2025-10-05,2025-10-12
561,20675,2,2026-06-05,2026-06-06
562,6854,5,2024-07-24,2024-07-29
563,4479,3,2026-05-28,2026-06-01
564,27209,4,2025-09-11,2025-09-19
565,19495,4,2024-04-16,2024-04-23
566,45116,9,2026-01-01,2026-01-10
567,46142,2,2025-11-19,2025-11-21
568,6534,7,2024-09-15,2024-09-18
569,18418,1,2026-03-29,2026-04-04
570,5525,8,2026-01-15,2026-01-17
571,11586,5,2025-03-24,2025-04-03
572,38214,5,2025-06-28,2025-07-05
573,15179,10,2024-07-03,2024-07-10
574,17277,5,2024-09-22,2024-09-28
575,12253,10,2024-09-08,2024-09-16
576,48105,10,2024-11-03,2024-11-04
577,34614,6,2024-09-06,2024-09-14
578,258,2,2024-08-22,2024-08-28
579,4232,6,2025-06-06,2025-06-15
580,8720,5,2025-03-06,2025-03-13
581,26658,5,2025-09-20,2025-09-22
582,34346,8,2025-07-28,2025-08-07
583,37829,8,2026-07-10,2026-07-11
584,43193,2,2026-05-05,2026-05-13
585,22708,9,2026-07-11,2026-07-15
586,26012,10,2026-05-21,2026-05-22
587,34070,7,2024-03-20,2024-03-28
588,23052,6,2025-08-22,2025-08-31
589,10755,7,2026-03-31,2026-04-09
590,43893,1,2025-05-09,2025-05-19
591,11585,6,2025-07-28,2025-08-07
592,25130,10,2024-08-24,2024-08-29
593,27660,7,2026-04-24,2026-05-01
594,31466,7,2026-01-16,2026-01-18
595,31181,5,2025-02-24,2025-03-05
596,13611,6,2026-07-10,2026-07-14
597,4689,8,2026-07-16,2026-07-24
598,24670,7,2024-08-26,2024-08-29
599,36581,3,2024-07-25,2024-08-01
600,9445,1,2024-11-15,2024-11-24
601,15256,7,2025-07-12,2025-07-21
602,24162,7,2025-04-14,2025-04-16
603,18938,10,2024-02-03,2024-02-08
604,12858,9,2024-04-25,2024-04-30
605,7350,10,2025-07-17,2025-07-27
606,48203,7,2024-05-09,2024-05-11
607,16121,2,2026-06-15,2026-06-17
608,2598,7,2026-02-15,2026-02-20
609,43025,1,2025-06-15,2025-06-24
610,43030,7,2024-09-26,2024-10-04
611,11371,8,2024-06-07,2024-06-14
612,47655,7,2025-05-11,2025-05-13
613,40613,1,2025-02-02,2025-02-11
614,34799,10,2024-03-15,2024-03-16
615,6290,10,2026-06-03,2026-06-11
616,40533,6,2025-08-23,2025-08-28
617,28690,5,2024-12-24,2025-01-02
618,37648,3,2024-09-09,2024-09-11
619,8199,10,2024-03-23,2024-03-25
620,22379,9,2024-01-04,2024-01-05
621,39086,6,2024-01-04,2024-01-14
622,9594,3,2025-07-31,2025-08-03
623,12081,10,2026-06-21,2026-06-25
624,31395,1,2024-11-13,2024-11-17
625,9122,5,2024-01-30,2024-02-05
626,38987,2,2025-04-22,2025-04-26
627,13674,4,2024-08-31,2024-09-01
628,16596,5,2025-03-02,2025-03-10
629,38669,4,2024-06-08,2024-06-11
630,21117,8,2024-08-28,2024-09-01
631,47073,5,2024-01-31,2024-02-04
632,45573,1,2025-11-30,2025-12-08
633,18426,8,2024-07-23,2024-07-25
634,33514,1,2024-05-04,2024-05-07
635,5066,2,2024-06-06,2024-06-13
636,31528,6,2025-05-13,2025-05-22
637,1621,1,2026-07-21,2026-07-26
638,30861,9,2024-08-15,2024-08-23
639,12820,1,2026-02-19,2026-02-20
640,44478,5,2024-08-15,2024-08-18
641,36123,9,2026-04-23,2026-05-03
642,23579,9,2026-08-09,2026-08-18
643,17517,6,2025-10-13,2025-10-17
644,2479,1,2025-02-03,2025-02-04
645,35235,10,2024-04-08,2024-04-09
646,6341,1,2025-02-22,2025-03-02
647,40999,9,2026-02-22,2026-03-02
648,43991,2,2026-02-04,2026-02-11
649,33080,3,2026-06-01,2026-06-04
650,28394,7,2024-06-23,2024-06-28
651,425,7,2025-05-25,2025-05-30
652,23438,4,2024-09-28,2024-10-02
653,28891,3,2024-11-29,2024-12-05
654,18900,8,2024-03-23,2024-03-28
655,27481,6,2024-11-03,2024-11-09
656,8041,5,2024-03-21,2024-03-29
657,41437,3,2024-11-12,2024-11-17
658,8505,6,2026-02-20,2026-02-26
659,42835,7,2025-09-25,2025-10-01
660,3428,7,2025-12-26,2026-01-04
661,4863,2,2024-10-30,2024-11-03
662,11104,2,2026-01-19,2026-01-24
663,3063,4,2025-10-12,2025-10-21
664,35255,3,2025-11-30,2025-12-09
