PaymentID,OrderID,PaymentMethod,PaymentDate,Amount
266,49421,Credit Card,2026-04-07,3217.16
267,16284,Cash,2026-08-22,3774.61
268,4919,Cash,2025-08-29,1120.57
269,34086,Cash,2025-09-27,4701.99
270,31675,Bank Transfer,2026-08-31,4368.79
271,44673,Credit Card,2024-08-24,4867.0
272,9704,Debit Card,2026-02-19,3598.07
273,29396,PayPal,2026-01-13,2010.25
274,18065,Credit Card,2026-08-01,113.29
275,27242,Credit Card,2025-04-17,2034.43
276,8813,Credit Card,2024-07-30,1878.31
277,27474,PayPal,2025-06-15,2525.64
278,31393,Credit Card,2025-12-07,429.19
279,40238,Bank Transfer,2026-08-15,3442.14
280,22176,Bank Transfer,2025-12-11,55.78
281,34195,Bank Transfer,2026-01-08,1703.88
282,36352,Credit Card,2024-03-10,3833.98
283,49079,Credit Card,2025-02-13,3586.41
284,40075,PayPal,2025-10-10,2007.98
285,29248,Bank Transfer,2025-03-31,2535.75
286,47517,PayPal,2024-03-15,1918.13
287,19458,Bank Transfer,2024-04-25,4921.87
288,39938,Bank Transfer,2025-06-12,2784.3
289,5944,Credit Card,2025-02-11,1274.13
290,42349,PayPal,2024-11-03,3304.77
291,33659,PayPal,2025-03-19,2737.17
292,11275,Bank Transfer,2024-09-28,840.31
293,1544,Bank Transfer,2025-01-06,4249.94
294,11643,Bank Transfer,2026-09-02,53.31
295,40860,Bank Transfer,2025-03-07,2866.46
296,45846,PayPal,2025-03-24,2935.51
297,49660,Cash,2024-12-16,2236.91
298,36460,Cash,2025-06-11,4015.89
299,2650,Cash,2024-02-16,4712.32
300,20293,PayPal,2024-11-23,4769.6
301,18993,Debit Card,2025-07-12,1303.08
302,8061,Bank Transfer,2024-11-17,1963.32
303,41023,Cash,2024-08-14,2265.02
304,29163,Bank Transfer,2024-10-21,3768.84
305,19337,Debit Card,2025-12-21,4057.98
306,5171,Credit Card,2025-09-16,360.2
307,46540,Credit Card,2024-06-24,3065.48
308,22326,Cash,2024-06-26,4581.22
309,36295,Credit Card,2026-04-27,2801.55
310,18687,Bank Transfer,2025-03-06,1601.47
311,11148,Cash,2025-07-02,2553.1
312,41777,PayPal,2024-05-18,547.45
313,4931,Cash,2024-08-25,1746.25
314,31916,Cash,2024-11-24,4419.18
315,31520,PayPal,2026-03-19,2561.47
316,39474,Debit Card,2025-06-21,271.26
317,19260,PayPal,2024-04-29,1490.87
318,23646,Credit Card,2024-01-23,98.08
319,7889,PayPal,2024-01-14,3643.17
320,23707,PayPal,2026-03-27,4769.55
321,34014,Debit Card,2024-07-03,425.0
322,18218,PayPal,2026-09-07,4908.89
323,45272,Cash,2026-09-04,397.22
324,7979,Cash,2024-05-04,3335.83
325,40844,Bank Transfer,2026-02-24,4113.64
326,10223,Bank Transfer,2025-10-21,3299.34
327,29366,Credit Card,2025-07-27,3663.52
328,37177,Debit Card,2025-10-02,1991.11
329,37669,PayPal,2025-08-16,3597.37
330,42563,Credit Card,2026-03-30,2732.04
331,31472,PayPal,2026-06-22,1962.66
332,20284,Bank Transfer,2026-02-23,962.53
333,7818,Debit Card,2026-02-19,768.9
334,5725,Cash,2025-12-14,2551.49
335,45404,Debit Card,2025-02-20,43.77
336,35853,Cash,2025-03-01,2418.93
337,9416,Cash,2024-09-15,4383.43
338,36498,PayPal,2025-09-26,3013.26
339,26133,PayPal,2024-09-25,2080.49
340,48667,PayPal,2024-10-19,2409.95
341,36574,Credit Card,2025-08-04,3933.77
342,19217,Debit Card,2026-01-07,2421.22
343,5514,Credit Card,2025-10-31,1274.53
344,35452,Cash,2024-07-02,297.63
345,29287,PayPal,2025-01-16,3722.32
346,12471,Credit Card,2026-01-27,1530.8
347,48839,Credit Card,2026-01-10,4253.2
348,48803,PayPal,2024-03-11,4518.54
349,857,Credit Card,2024-01-03,3144.72
350,33670,Debit Card,2026-03-16,3104.88
351,8109,Debit Card,2024-06-12,1542.02
352,39204,Credit Card,2025-03-01,3022.87
353,30085,Bank Transfer,2024-01-02,2682.73
354,18766,Credit Card,2025-02-03,721.78
355,42043,Bank Transfer,2024-01-18,73.37
356,25725,Bank Transfer,2025-02-03,2993.48
357,1212,Debit Card,2024-01-05,1490.56
358,19152,Credit Card,2024-04-10,4736.21
359,30465,Credit Card,2026-06-08,3875.27
360,29774,PayPal,2025-12-27,24.25
361,16285,Credit Card,2025-06-09,582.5
362,43208,Credit Card,2026-01-07,3296.6
363,38264,Credit Card,2024-06-01,1648.25
364,44212,Credit Card,2024-12-03,4788.85
365,3383,Bank Transfer,2026-07-05,459.94
366,36683,Debit Card,2025-10-03,3434.16
367,3721,Credit Card,2026-06-16,3318.4
368,391,Cash,2026-02-23,966.12
369,49141,Cash,2025-02-09,2144.17
370,43696,PayPal,2025-12-19,1015.95
371,29430,Credit Card,2024-01-12,3453.08
372,13498,Cash,2026-01-30,4932.12
373,9849,PayPal,2026-07-13,700.03
374,42885,PayPal,2026-08-29,979.24
375,32827,Cash,2024-11-18,3987.81
376,41936,Bank Transfer,2024-10-02,327.19
377,22375,PayPal,2026-03-22,2802.05
378,16744,PayPal,2025-12-21,3932.1
379,7783,Cash,2024-05-15,3110.59
380,19829,PayPal,2025-08-26,356.66
381,16634,Cash,2024-03-23,4855.45
382,27112,Debit Card,2024-08-30,2954.35
383,45191,PayPal,2024-06-16,4825.13
384,2461,Bank Transfer,2026-03-16,874.06
385,7370,Cash,2025-04-28,2859.01
386,25182,PayPal,2026-04-25,4491.01
387,24750,Credit Card,2025-05-08,1654.13
388,19549,Cash,2025-05-15,4795.12
389,16851,Cash,2026-07-14,1389.56
390,39491,Credit Card,2025-02-16,3011.08
391,18913,Debit Card,2025-05-26,3602.11
392,42853,Bank Transfer,2024-06-22,1964.24
393,1800,Bank Transfer,2024-08-08,4266.73
394,14921,Debit Card,2025-03-24,1588.27
395,33213,Bank Transfer,2024-01-04,2109.17
396,44820,Credit Card,2025-10-27,3505.55
397,17294,Bank Transfer,2025-04-06,2228.25
398,24072,Credit Card,2025-01-24,2995.76
399,20951,Credit Card,2025-07-07,3185.69
400,42497,Cash,2024-04-14,4982.02
401,39091,Debit Card,2025-03-09,2915.9
402,18060,PayPal,2026-09-06,913.38
403,25754,Debit Card,2024-05-31,3872.9
404,43727,Debit Card,2025-04-19,1498.83
405,27995,Credit Card,2026-01-21,3755.76
406,31359,Credit Card,2024-11-08,2637.36
407,21454,Debit Card,2026-03-20,4848.6
408,22212,Bank Transfer,2026-01-19,2432.32
409,20914,Debit Card,2024-12-12,1915.25
410,27887,PayPal,2024-11-02,3178.01
411,28389,PayPal,2025-09-25,2077.39
412,16420,Bank Transfer,2024-10-20,2561.65
413,6648,Credit Card,2024-06-23,3026.86
414,44253,Bank Transfer,2026-06-24,2313.85
415,4608,PayPal,2024-05-12,3755.86
416,30034,Cash,2025-04-24,2581.91
417,33533,PayPal,2025-05-06,870.77
418,673,Debit Card,2026-01-23,2860.33
419,32464,Cash,2024-03-02,3770.99
420,36939,PayPal,2025-03-13,2232.04
421,8056,Credit Card,2026-06-08,3297.77
422,29655,Debit Card,2024-10-13,3085.73
423,47183,Cash,2026-04-16,1580.92
424,19112,Debit Card,2024-06-01,245.37
425,14955,Debit Card,2024-04-30,2540.36
426,42593,Cash,2024-11-25,2566.84
427,16805,Cash,2024-08-05,2771.17
428,48519,Bank Transfer,2024-10-16,4786.52
429,14549,Cash,2026-03-25,2949.23
430,39936,Bank Transfer,2025-03-19,3515.61
431,22656,Cash,2025-10-13,4738.3
432,40145,Credit Card,2024-12-02,214.8
433,46457,Debit Card,2024-03-30,4628.55
434,34983,PayPal,2024-03-16,2644.88
435,42089,Debit Card,2025-09-23,3007.88
436,6942,Debit Card,2024-05-10,394.33
437,43437,PayPal,2024-03-31,419.02
438,24134,Credit Card,2026-04-10,913.1
439,8679,Cash,2024-10-07,3935.31
440,24993,Credit Card,2025-03-14,3775.5
441,5695,Bank Transfer,2026-03-08,757.07
442,41586,Debit Card,2025-06-04,557.92
443,44747,PayPal,2024-05-31,1640.04
444,46151,Bank Transfer,2025-04-24,1489.75
445,12500,Credit Card,2024-04-09,3293.54
446,4840,Bank Transfer,2025-02-28,3020.36
447,3400,PayPal,2024-01-24,4763.89
448,20102,Debit Card,2024-02-21,1272.98
449,36628,Bank Transfer,2025-07-12,3679.59
450,7128,PayPal,2025-06-06,3666.04
451,6330,Bank Transfer,2024-12-10,164.98
452,35892,Bank Transfer,2024-09-19,41.94
453,32726,Bank Transfer,2024-09-02,3703.73
454,44636,Debit Card,2024-04-07,3892.81
455,14345,Debit Card,2024-03-12,520.23
456,33755,Debit Card,2026-03-29,483.02
457,44496,PayPal,2025-09-04,3425.9
458,9,Debit Card,2024-12-29,1870.6
459,29754,Credit Card,2025-07-27,686.49
460,20785,Bank Transfer,2026-05-11,1217.44
461,12621,Credit Card,2025-03-28,4045.58
462,4265,Credit Card,2025-02-16,1621.48
463,44552,Credit Card,2026-05-10,897.12
464,36711,Credit Card,2026-08-16,1135.12
465,16131,Debit Card,2026-01-13,3755.11
466,47648,Debit Card,2025-11-23,624.4
467,26076,Cash,2026-04-18,2630.24
468,966,Debit Card,2025-05-04,4173.52
469,35252,PayPal,2025-06-28,1544.12
470,24071,Debit Card,2024-09-02,2611.11
471,28332,Cash,2025-06-13,2606.74
472,4608,Debit Card,2025-06-10,2294.06
473,40563,Bank Transfer,2024-01-10,29.55
474,21577,Credit Card,2025-06-26,2255.03
475,41346,Cash,2025-02-17,2644.04
476,36000,Cash,2025-04-12,4172.82
477,41980,Credit Card,2024-12-03,1303.59
478,3275,Credit Card,2024-07-12,3228.8
479,11223,Cash,2025-12-29,3821.22
480,42156,Credit Card,2024-08-15,2101.19
481,29923,Bank Transfer,2024-03-20,3224.15
482,14756,Cash,2025-10-04,175.68
483,26843,Bank Transfer,2025-01-14,969.21
484,21014,PayPal,2026-06-26,4141.4
485,49153,PayPal,2025-01-22,3255.39
486,187,Cash,2026-07-05,3489.83
487,34182,Bank Transfer,2024-02-05,1625.39
488,12700,Bank Transfer,2024-07-25,2495.41
489,11588,Cash,2025-04-29,2518.6
490,31217,Bank Transfer,2025-10-05,846.12
491,16275,Bank Transfer,2026-05-22,1175.94
492,30844,Credit Card,2025-12-31,198.21
493,42139,Bank Transfer,2025-02-05,1121.69
494,34913,PayPal,2026-02-03,2547.38
495,27529,Debit Card,2026-04-04,4202.67
496,20642,Cash,2026-04-08,2932.13
497,41738,Debit Card,2024-05-12,3180.69
498,30120,Bank Transfer,2024-08-02,414.93
499,12035,Credit Card,2024-01-09,1140.63
500,5584,Bank Transfer,2026-02-24,1988.54
501,5120,Debit Card,2026-04-30,828.04
502,1518,Cash,2024-04-10,3524.5
503,11499,Debit Card,2025-07-10,921.07
504,36859,Credit Card,2025-11-04,2213.84
505,38703,Debit Card,2025-02-18,3246.33
506,9934,Debit Card,2025-11-10,2838.22
507,3586,PayPal,2025-09-15,1675.5
508,44680,Debit Card,2025-09-27,1819.64
509,23355,Debit Card,2026-06-09,2616.45
510,2772,PayPal,2024-06-26,3134.32
511,40805,Bank Transfer,2024-01-29,1917.52
512,27433,Bank Transfer,2025-01-16,41.35
513,32690,Debit Card,2024-03-26,344.12
514,24939,PayPal,2026-08-24,338.54
515,24758,Bank Transfer,2024-03-02,380.57
516,2837,Debit Card,2024-10-13,4312.03
517,40493,Credit Card,2025-09-13,3366.96
518,13589,PayPal,2025-09-22,370.56
519,37654,PayPal,2025-09-12,417.02
520,48259,Credit Card,2025-09-09,2998.7
521,21943,PayPal,2025-03-07,3999.26
522,13054,Debit Card,2026-08-21,3219.67
523,46337,PayPal,2025-04-09,1797.52
524,40174,Cash,2025-01-19,4060.98
525,11879,Credit Card,2025-04-30,3162.59
526,32753,Debit Card,2025-06-04,4595.96
527,12390,Bank Transfer,2025-03-13,2834.37
528,28704,Debit Card,2025-03-27,4460.7
529,41346,Cash,2024-08-19,308.51
530,18171,Cash,2025-05-06,287.66
531,29636,PayPal,2026-07-22,2466.22
532,14881,Credit Card,2024-04-29,556.45
533,42343,Credit Card,2025-07-07,1045.36
534,42602,Bank Transfer,2025-01-26,1864.33
535,15255,Bank Transfer,2026-08-07,4209.52
536,16976,Debit Card,2024-11-03,1101.9
537,33544,Bank Transfer,2024-11-19,3278.91
538,6812,Bank Transfer,2026-04-19,399.31
539,39987,Debit Card,2024-01-26,496.72
540,34418,Credit Card,2024-08-05,4053.15
541,11084,Cash,2025-05-02,680.25
542,38582,Debit Card,2025-10-29,630.69
543,29621,Cash,2024-02-22,891.52
544,4558,Debit Card,2025-12-13,402.96
545,20252,Cash,2024-05-14,1781.01
546,30404,Cash,2025-02-24,2552.38
547,4941,Credit Card,2024-07-13,2321.84
548,27975,Credit Card,2025-10-16,4197.8
549,1750,Cash,2025-12-18,4503.06
550,31132,Cash,2025-10-15,1264.17
551,31825,Bank Transfer,2025-04-06,1990.72
552,19322,Cash,2025-01-07,3763.26
553,6546,Credit Card,2024-10-30,2615.74
554,13134,Credit Card,2025-11-19,4801.32
555,19602,Cash,2025-09-08,3459.19
556,966,Cash,2024-09-13,3177.63
557,1509,Debit Card,2026-02-15,4154.88
558,47239,Cash,2024-11-26,1748.85
559,7509,Bank Transfer,2025-04-05,1988.1
560,10474,Debit Card,2024-12-04,2855.3
561,22075,Credit Card,2024-01-21,267.95
562,15764,Cash,2026-09-10,193.7
563,48525,Debit Card,2025-12-25,3024.58
564,17386,Bank Transfer,2024-06-23,71.47
565,43142,PayPal,2026-06-18,1705.18
566,45060,Cash,2026-05-17,4695.11
567,28856,Debit Card,2024-10-26,4432.15
568,26762,Cash,2026-01-31,2175.04
569,37272,Credit Card,2026-09-08,3514.71
570,41163,Credit Card,2026-01-19,2977.5
571,21769,Credit Card,2026-05-01,2607.97
572,10223,Credit Card,2024-06-26,2003.45
573,47000,Bank Transfer,2025-05-02,141.17
574,35702,Bank Transfer,2025-05-06,3162.34
575,26818,Bank Transfer,2025-10-26,4613.95
576,35390,Credit Card,2025-05-14,2695.1
577,7632,PayPal,2026-06-26,80.35
578,17641,Credit Card,2024-02-15,3928.71
579,49647,Cash,2024-11-10,1387.38
580,41939,PayPal,2024-09-18,2513.45
581,29489,Cash,2025-08-23,2302.64
582,29519,Cash,2024-09-05,2551.41
583,39533,PayPal,2024-10-18,1843.31
584,12309,Cash,2025-03-18,721.81
585,45945,PayPal,2025-04-30,687.18
586,23118,Debit Card,2025-01-22,3427.69
587,32968,Debit Card,2026-09-01,215.21
588,32063,Credit Card,2024-11-25,1249.69
589,16562,Credit Card,2026-08-08,4153.29
590,46606,Credit Card,2026-07-06,2679.39
591,29420,Bank Transfer,2025-09-06,1368.09
592,35378,Debit Card,2025-07-28,3892.78
593,23524,Cash,2026-06-02,4674.87
594,42284,Bank Transfer,2024-10-05,4552.66
595,45257,Credit Card,2024-04-22,180.23
596,3419,Bank Transfer,2024-02-28,4162.7
597,13780,Bank Transfer,2026-06-06,1739.64
598,3394,Debit Card,2026-06-02,873.07
599,22009,Cash,2025-03-11,1342.16
600,17158,Bank Transfer,2025-05-16,982.72
601,11449,PayPal,2025-12-01,733.97
602,6667,Credit Card,2026-06-05,2675.05
603,17136,Credit Card,2024-01-21,3704.34
604,23417,Cash,2024-04-21,4604.42
605,40936,Debit Card,2025-02-16,4431.65
606,27379,Debit Card,2024-03-07,2289.47
607,803,PayPal,2024-12-01,896.76
608,44502,PayPal,2025-10-07,3778.35
609,32453,Bank Transfer,2025-02-08,3685.17
610,47473,Cash,2024-04-17,271.42
611,45913,Bank Transfer,2025-06-08,2710.79
612,38370,Debit Card,2025-11-14,2536.88
613,11493,Debit Card,2024-01-09,4714.07
614,16141,Credit Card,2025-08-24,2806.25
615,6944,Cash,2025-04-26,3161.29
